0,101  Indian Institute  of Technology Bhubaneswar,"Indian Institute of Technology Bhubaneswar (IITBBS), Argul,  Khurda, Odisha, PIN: 752050","dr.acad@iitbbs.ac.in,  academic.btech@iitbbs.ac.in",91-674-713-4574,,www.iitbbs.ac.in
1,102  Indian Institute  of Technology Bombay,"IIT Bombay, Powai, Mumbai 400076, Maharashtra, India","adlingesd@iitb.ac.in,  aracad4@iitb.ac.in",91-22-25767987,,www.iitb.ac.in
2,103  Indian Institute  of Technology Mandi,"Kamand Campus, VPO Kamand, Distt. Mandi - 175075 Himachal Pradesh India","registrar@iitmandi.ac.in,",91-1905-267015,91-1905-267075,www.iitmandi.ac.in
3,104  Indian Institute  of Technology Delhi,"Indian Institute of Technology Delhi, Hauz Khas, New Delhi-110 016, INDIA","deanacad@admin.iitd.ac.in,  adcur@admin.iitd.ac.in",91-11-26591708,,www.iitd.ac.in
4,105  Indian Institute  of Technology Indore,"Indian Institute of Technology Indore
Simrol, Khandwa Road 
Pin code 453 552, Indore (MP) India","araa@iiti.ac.in,  manageracademic@iiti.ac.in",91-731-6603150,91-731-6603121,www.iiti.ac.in
5,106  Indian Institute  of Technology Kharagpur,"Kharagpur 
West Bengal
India - 721302","arug@adm.iitkgp.ac.in,  jeeadv@iitkgp.ac.in",03222-282054,03222-278242,www.iitkgp.ac.in
6,107  Indian Institute  of Technology Hyderabad,"Kandi-502284, Sagareddy, Telangana, India","dr.acad@iith.ac.in,  acad.ug@iith.ac.in",91-40-23016057,91-40-23016000,www.iith.ac.in
7,108  Indian Institute  of Technology Jodhpur,"NH 62 Nagaur Road, Karwad 342030, Jodhpur, Rajasthan","chair_jee@iitj.ac.in,  office_jee@iitj.ac.in",2912801079,,www.iitj.ac.in
8,109  Indian Institute  of Technology Kanpur,"JEE Office,
DOAA Building,
IIT Kanpur,
Kalyanpur, Kanpur, Uttar Pradesh 208016, India","jee@iitk.ac.in,  jeeadv@iitk.ac.in",0512-2597335,,www.iitk.ac.in
9,110  Indian Institute  of Technology Madras,"IIT Madras P.O., Chennai 600036, INDIA","drcourses@iitm.ac.in,  cacad@iitm.ac.in",91-44-22578035,91-44-22578042,www.iitm.ac.in
10,111  Indian Institute  of Technology Gandhinagar,"Palaj, Gandhinagar - 382055, India","academics@iitgn.ac.in,  ar.acad@iitgn.ac.in",7923952053,,www.iitgn.ac.in
11,112  Indian Institute  of Technology Patna,"Indian Institute of Technology Patna, Bihta, Patna -801106 (Bihar)","aracademic@iitp.ac.in,  chairjee@iitp.ac.in",91-6115-233697,,www.iitp.ac.in
12,113  Indian Institute  of Technology Roorkee,"Indian Institute of Technology Roorkee
Roorkee
Haridwar-247667
Uttarakhand
India","ugadm@iitr.ac.in,",01332-284289,,www.iitr.ac.in
13,114  Indian Institute  of Technology (ISM) Dhanbad,"Indian Institute of Technology
(Indian School of Mines),Dhanbad   826004, Jharkhand, India","chair.jeea@iitism.ac.in,  subindu@iitism.ac.in",0326-223-5292,,www.iitism.ac.in
14,115  Indian Institute  of Technology Ropar,"IIT Ropar, 
Rupnagar 140001, 
Punjab","jr.acad@iitrpr.ac.in; officer-academics-1@iitrpr.ac.in,  academics@iitrpr.ac.in",01881-231176,,www.iitrpr.ac.in
15,116  Indian Institute  of Technology (BHU) Varanasi,Uttar Pradesh 221005,"doaa@iitbhu.ac.in,  academics@iitbhu.ac.in",91-5422367042,91-542-2368428,www.iitbhu.ac.in
16,117  Indian Institute  of Technology Guwahati,"Guwahati - 781039, Assam, India","acad_admission@iitg.ac.in,  hosacad@iitg.ac.in",91-361-2582192,91-361-2582090,www.iitg.ac.in
17,118  Indian Institute of Technology Bhilai,"IIT Bhilai, Kutelabhata, Durg, Chhattisgarh, 491002, India.","admissions@iitbhilai.ac.in,  ardoaa@iitbhilai.ac.in",7882991609,,https://www.iitbhilai.ac.in
18,119  Indian Institute of Technology Goa,"IIT Goa, Goa Engineering College Campus, Farmagudi, Ponda- 403401, Goa, India","dean.ap@iitgoa.ac.in,  ar_academic@iitgoa.ac.in",8322490871,,www.iitgoa.ac.in
19,120  Indian Institute  of Technology Palakkad,"Indian Institute of Technology Palakkad, Nila Campus, Kanjikode West, Palakkad 678623, Kerala","chair.jee@iitpkd.ac.in,  bibhu@iitpkd.ac.in",4923226326,,iitpkd.ac.in
20,121  Indian Institute  of Technology Tirupati,"Indian Institute of Technology Tirupati
Yerpedu – Venkatagiri Road, Yerpedu Post,
Tirupati District, A.P - 517619","admissions@iittp.ac.in,  academics@iittp.ac.in",91-877-2503531,91-877-2503004,www.iittp.ac.in
